id,status

[597],1

[422],1

[1087],0

[1432],1

[428],1

[217],1

[1114],1

[866],1

[773],1

[954],0

[699],1

[228],0

[162],0

[1012],0

[668],0

[486],1

[216],1

[167],1

[1413],1

[384],0

[597],1

[549],1

[404],1

[1355],1

[398],0

[1390],1

[1147],0

[238],1

[628],0

[559],1

[963],1

[666],1

[1116],1

[877],1

[205],1

[362],1

[693],0

[25],0

[1447],1

[378],1

[931],1

[1164],1

[931],1

[931],1

[1114],1

[961],0

[520],1

[246],1

[648],0

[1237],1

[866],1

[659],1

[1445],1

[1434],1

[1120],0

[282],1

[305],1

[683],1

[1389],1

[328],1

[970],1

[619],0

[696],0

[862],1

[866],1

[234],1

[677],1

[709],0

[721],0

[605],1

[372],1

[1426],1

[1458],0

[1437],1

[160],1

[348],1

[430],0

[434],0

[675],1

[980],1

[266],1

[1133],1

[760],1

[866],1

[692],1

[584],1

[673],0

[1073],1

[31],1

[939],1

[731],1

[695],0

[873],1

[717],0

[43],1

[609],1

[565],0

[1340],1

[1317],1

[608],0

[1372],1

[495],0

[1250],0

[335],0

[176],1

[753],0

[1345],1

[1010],1

[1011],1

[1469],1

[1123],1

[166],1

[771],1

[637],0

[1000],1

[397],0

[556],0

[1331],1

[576],0

[32],1

[1400],1

[431],1

[1094],1

[866],1

[347],1

[1444],0

[409],0

[529],0

[735],0

[1408],1

[1074],1

[389],1

[465],0

[1189],1

[521],0

[1125],1

[1322],1

[541],1

[1356],1

[1036],1

[1265],1

[332],0

[1078],1

[1111],1

[554],1

[1091],1

[365],1

[61],1

[1088],0

[403],1

[931],1

[1305],1

[364],1

[611],1

[1411],0

[1449],1

[774],1

[1055],1

[931],1

[688],1

[1443],1

[636],0

[1395],0

[1522],1

[639],0

[432],1

[1311],0

[1268],1

[643],0

[855],1

[983],1

[647],1

[1226],0

[240],1

[1402],1

[629],0

[613],1

[1259],1

[713],0

[620],0

[336],1

[1145],1

[561],1

[1071],1

[689],1

[1482],1

[417],1

[577],0

[707],0

[1421],1

[460],1

[1332],1

[1412],1

[1004],1

[51],1

[866],1

[1218],1

[1287],0

[1063],1

[1419],1

[359],1

[458],1

[1069],0

[557],0

[445],1

[674],0

[477],0

[1420],1

[624],0

[965],1

[1006],0

[663],1

[1146],0

[524],1

[644],1

[1346],1

[27],1

[985],0

[584],1

[1015],1

[1098],1

[1338],0

[679],1

[456],0

[1014],1

[239],1

[1358],1

[583],1

[1062],0

[1451],1

[1085],1

[1247],1

[602],1

[726],1

[1235],1

[1393],1

[1193],1

[667],0

[1294],1

[366],1

[973],1

[671],1

[1059],0

[401],1

[1425],1

[966],1

[669],1

[270],0

[646],1

[690],1

[408],0

[412],0

[478],1

[621],0

[1452],1

[850],1

[559],1

[962],1

[618],1

[955],1

[1278],1

[1126],1

[509],1

[975],0

[610],1

[546],0

[649],0

[708],1

[998],1

[1063],1

[953],0

[1388],0

[297],1

[931],1

[555],1

[982],0

[1454],1

[866],1

[569],1

[600],0

[580],1

[1442],1

[538],0

[972],0

